DealerID,NewUsed,Year,Make,Model,ExteriorColor,InteriorColor,EngineCylinders,Trim,SellingPrice,Miles,MPG(Miles per gallon),FuelType,website Link for more details,Car Features
2013,USED,2021,Ram,1500,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",42812,27089,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2022,Ram,1500,Granite Crystal Metallic Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",51392,77,24,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2022,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,Summit 4x4,72577,13,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2022,Chrysler,Pacifica,Bright White Clearcoat,Black,6,Hybrid Touring L FWD,46615,12,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,4x4,62862,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2022,Ram,1500,Bright White Clearcoat,Black,6,"Big Horn 4x4 Quad Cab 6'4"" Box",50902,10,24,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2022,Jeep,Grand Cherokee 4xe,Hydro Blue Pearlcoat,Global Black,4,Summit Reserve 4x4,77977,0,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2022,Jeep,Grand Cherokee 4xe,Midnight Sky,Global Black,4,Summit Reserve 4x4,77977,97,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2021,Ram,1500,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",53930,5,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2022,Chrysler,Pacifica,Bright White Clearcoat,Black/Alloy/Black,6,Touring L FWD,40245,4597,28,Gasoline,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Chrysler,Pacifica,Bright White Clearcoat,Black,6,Hybrid Touring L FWD,46615,0,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Chrysler,Pacifica,Fathom Blue Pearlcoat,Black,6,Hybrid Touring L FWD,47110,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Chrysler,Pacifica,Ceramic Gray Clearcoat,Black,6,Hybrid Touring L FWD,47110,6,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2022,Ram,1500,Billet Silver Metallic Clearcoat,Black,8,"Limited 4x4 Crew Cab 5'7"" Box",75595,381,21,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,USED,2022,Jeep,Grand Cherokee 4xe,Midnight Sky,Global Black,4,Summit Reserve 4x4,75160,2173,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2022,Jeep,Compass,Sting-Gray Clearcoat,Black,4,Limited 4x4,34227,12,30,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2022,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Latitude Lux,31977,12,30,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,Overland 4x4,69742,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,Overland 4x4,69742,15,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Jeep,Wrangler 4xe,Granite Crystal Metallic Clearcoat,Black,4,4x4,60052,8,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,4x4,63862,12,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Ram,1500,Bright White Clearcoat,Black,8,"Big Horn 4x4 Crew Cab 6'4"" Box",57277,105,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Wrangler 4xe,White Knuckle Clearcoat,Black,4,4x4,59557,15,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Ram,1500,Bright White Clearcoat,Black,8,"Limited 4x4 Crew Cab 5'7"" Box",83572,9,29,Diesel,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Wrangler 4xe,Sarge Green Clearcoat,Black,4,4x4,60052,12,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,4x4,63862,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Ram,1500,Bright White Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",72217,18,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Ram,1500,Diamond Black Crystal Pearlcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",54982,8,24,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Compass,Bright White Clearcoat,Black,4,Latitude 4x4,33297,13,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Bright White Clearcoat,Black,4,Latitude 4x4,33297,5,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Bright White Clearcoat,Black,4,Latitude 4x4,33297,7,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Baltic Gray Metallic Clearcoat,Global Black,4,Trailhawk 4x4,66907,14,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Ram,ProMaster Cargo Van,Bright White Clearcoat,Black,6,"2500 High Roof 136"" WB",54485,0,25,Gasoline,https://www.pinebeltcjdr.com/,"cargo, transport vehicle"
2013,NEW,2023,Ram,1500,Bright White Clearcoat,Black,6,"Laramie 4x4 Crew Cab 5'7"" Box",64300,5,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Ram,1500,Bright White Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",62327,14,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Latitude 4x4,33792,12,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Diamond Black Crystal Pearlcoat,Global Black,4,Overland 4x4,70237,0,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Ram,1500,Bright White Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",65237,7,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Compass,Bright White Clearcoat,Black,4,Latitude 4x4,33297,5,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Ram,1500,Granite Crystal Metallic Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",65487,15,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Latitude 4x4,33792,5,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,USED,2022,Ram,1500,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",48714,4618,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,USED,2020,Jeep,Compass,Jazz Blue Pearlcoat,Black,4,High Altitude 4x4,25824,37449,30,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Ram,1500,Diamond Black Crystal Pearlcoat,Black,8,"Limited 4x4 Crew Cab 5'7"" Box",83772,14,29,Diesel,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Compass,Bright White Clearcoat,Black,4,Latitude 4x4,33297,5,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Ram,1500,Bright White Clearcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",65237,16,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Latitude 4x4,33792,6,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,Summit Reserve 4x4,79017,12,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Latitude 4x4,33792,6,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Wrangler 4xe,White Knuckle Clearcoat,Black,4,4x4,60757,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Jeep,Wrangler 4xe,Sting-Gray Clearcoat,Black,4,4x4,61252,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Jeep,Wrangler 4xe,Black Clearcoat,Black,4,4x4,60057,8,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Ram,1500,Patriot Blue Pearlcoat,Black,6,"Big Horn 4x4 Quad Cab 6'4"" Box",53417,6,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Ram,1500,Diamond Black Crystal Pearlcoat,Black,6,"Rebel 4x4 Crew Cab 5'7"" Box",65437,28,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Compass,Bright White Clearcoat,Black,4,Latitude 4x4,33297,5,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Ram,ProMaster Cargo Van,Bright White Clearcoat,Black,6,"2500 High Roof 136"" WB",54485,0,25,Gasoline,https://www.pinebeltcjdr.com/,"cargo, transport vehicle"
2013,USED,2021,Ram,ProMaster Cargo Van,Bright White Clearcoat,Black,6,"2500 High Roof 159"" WB",44314,23486,25,Gasoline,https://www.pinebeltcjdr.com/,"cargo, transport vehicle"
2013,USED,2021,Ram,ProMaster Cargo Van,Bright White Clearcoat,Black,6,"2500 High Roof 159"" WB",43984,22195,25,Gasoline,https://www.pinebeltcjdr.com/,"cargo, transport vehicle"
2013,NEW,2023,Jeep,Wrangler 4xe,Firecracker Red Clearcoat,Black,4,4x4,61252,13,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,Trailhawk 4x4,66412,12,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,Summit Reserve 4x4,79017,15,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Jeep,Wrangler 4xe,Sarge Green Clearcoat,Black,4,4x4,61252,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
